Segment_ID,Band_ID,Gradient_Band,Start_Distance_km,End_Distance_km,Length_km,Average_Gradient_%,Min_Elevation_m,Max_Elevation_m,Elevation_Change_m
178,4,Steep Downhill,71.016,71.039,0.023,-8,398.7,400.5,1.8
179,5,Moderate Downhill,71.039,71.795,0.756,-6,352.3,398.7,46.3
180,6,Gentle Downhill,71.795,71.91,0.115,-4,347.6,352.3,4.8
181,5,Moderate Downhill,71.91,72.415,0.505,-7,314,347.6,33.6
182,6,Gentle Downhill,72.415,72.461,0.046,-5,311.8,314,2.2
183,5,Moderate Downhill,72.461,72.759,0.298,-6,293.4,311.8,18.5
184,6,Gentle Downhill,72.759,72.828,0.069,-5,290,293.4,3.4
185,5,Moderate Downhill,72.828,72.989,0.161,-6,279.8,290,10.2
186,6,Gentle Downhill,72.989,73.173,0.184,-4,272.1,279.8,7.7
187,5,Moderate Downhill,73.173,73.678,0.506,-6,239.4,272.1,32.7
188,6,Gentle Downhill,73.678,73.724,0.046,-3,237.9,239.4,1.5
189,7,Flat,73.724,74.115,0.391,0,236.1,238.4,2.3
190,6,Gentle Downhill,74.115,74.161,0.046,-3,234.8,236.1,1.2
191,7,Flat,74.161,74.805,0.644,1,232.2,240.1,7.9
192,8,Gentle Uphill,74.805,74.943,0.138,3,240.1,243.9,3.8
193,7,Flat,74.943,75.127,0.184,2,243.9,247.8,3.8
194,8,Gentle Uphill,75.127,75.15,0.023,3,247.8,248.4,0.6
195,7,Flat,75.15,75.334,0.184,1,248.4,250.1,1.7
196,6,Gentle Downhill,75.334,75.517,0.184,-4,242.5,249.3,6.8
197,7,Flat,75.517,75.563,0.046,-2,241.6,242.5,0.9
198,6,Gentle Downhill,75.563,75.586,0.023,-3,241,241.6,0.6
199,7,Flat,75.586,75.632,0.046,-2,239.9,241,1.1
200,6,Gentle Downhill,75.632,75.701,0.069,-3,238,239.9,1.9
201,7,Flat,75.701,75.724,0.023,-2,237.4,238,0.5
202,6,Gentle Downhill,75.724,75.747,0.023,-3,236.8,237.4,0.6
203,7,Flat,75.747,75.77,0.023,-2,236.3,236.8,0.6
204,6,Gentle Downhill,75.77,75.793,0.023,-3,235.7,236.3,0.6
205,7,Flat,75.793,76.137,0.344,0,234.8,235.7,0.9
206,8,Gentle Uphill,76.137,76.183,0.046,4,235.6,237.2,1.6
207,9,Moderate Uphill,76.183,76.574,0.391,7,237.2,266.1,28.9
208,10,Steep Uphill,76.574,76.597,0.023,8,266.1,268,1.8
209,9,Moderate Uphill,76.597,76.757,0.161,7,268,279.6,11.7
210,8,Gentle Uphill,76.757,76.849,0.092,4,279.6,282.9,3.2
211,7,Flat,76.849,77.47,0.621,0,282.9,286.3,3.4
212,6,Gentle Downhill,77.47,77.608,0.138,-4,279.6,284.9,5.3
213,7,Flat,77.608,77.838,0.23,-1,277.7,279.6,1.8
214,8,Gentle Uphill,77.838,77.884,0.046,4,278.4,280.2,1.9
215,9,Moderate Uphill,77.884,77.999,0.115,6,280.2,287.6,7.4
216,8,Gentle Uphill,77.999,78.16,0.161,3,287.6,293.2,5.5
217,9,Moderate Uphill,78.16,78.275,0.115,6,293.2,300,6.8
218,8,Gentle Uphill,78.275,78.321,0.046,3,300,301.6,1.6
219,7,Flat,78.321,79.492,1.171,1,301.6,310.1,8.5
220,8,Gentle Uphill,79.492,79.515,0.023,4,310.1,311,0.9
221,9,Moderate Uphill,79.515,79.561,0.046,6,311,313.9,2.9
222,10,Steep Uphill,79.561,79.766,0.205,8,313.9,331.3,17.5
223,9,Moderate Uphill,79.766,79.973,0.207,6,331.3,344.7,13.4
224,8,Gentle Uphill,79.973,79.996,0.023,5,344.7,345.9,1.1
225,9,Moderate Uphill,79.996,80.019,0.023,5,345.9,347,1.2
226,8,Gentle Uphill,80.019,80.088,0.069,4,347,349.9,2.9
227,7,Flat,80.088,80.456,0.368,1,349.8,353.1,3.3
228,8,Gentle Uphill,80.456,80.548,0.092,3,353.1,356.2,3.2
229,9,Moderate Uphill,80.548,80.594,0.046,5,356.2,358.6,2.4
230,8,Gentle Uphill,80.594,80.64,0.046,4,358.6,360.5,1.8
231,7,Flat,80.64,80.709,0.069,0,360.3,360.8,0.5
232,6,Gentle Downhill,80.709,80.847,0.138,-4,354.9,360.3,5.3
233,7,Flat,80.847,80.939,0.092,-1,353.6,354.9,1.3
234,6,Gentle Downhill,80.939,81.1,0.161,-4,347.6,353.6,6.1
235,5,Moderate Downhill,81.1,81.353,0.253,-6,331.7,347.6,15.8
236,6,Gentle Downhill,81.353,81.444,0.092,-4,328.4,331.7,3.4
237,7,Flat,81.444,81.536,0.092,0,327.8,328.4,0.5
238,8,Gentle Uphill,81.536,81.651,0.115,3,328.3,332.2,3.9
239,7,Flat,81.651,81.881,0.23,1,332.2,335,2.7
240,6,Gentle Downhill,81.881,81.927,0.046,-4,332.7,334.5,1.8
241,5,Moderate Downhill,81.927,82.248,0.321,-7,310.6,332.7,22.1
242,6,Gentle Downhill,82.248,82.317,0.069,-4,307.7,310.6,2.9
243,7,Flat,82.317,83.881,1.564,0,306.2,311.9,5.6
244,8,Gentle Uphill,83.881,83.973,0.092,3,311.9,314.4,2.5
245,7,Flat,83.973,84.295,0.322,1,314.4,316.4,2.1
246,8,Gentle Uphill,84.295,84.663,0.368,3,316.4,328.6,12.2
247,9,Moderate Uphill,84.663,84.824,0.161,5,328.6,337.3,8.7
248,8,Gentle Uphill,84.824,84.939,0.115,5,337.3,342.6,5.3
249,9,Moderate Uphill,84.939,85.1,0.161,6,342.6,352.4,9.8
250,8,Gentle Uphill,85.1,85.146,0.046,4,352.4,354.2,1.7
251,7,Flat,85.146,85.33,0.184,1,354.2,355.9,1.7
252,8,Gentle Uphill,85.33,85.376,0.046,4,355.9,357.7,1.8
253,9,Moderate Uphill,85.376,85.422,0.046,7,357.7,360.9,3.1
254,10,Steep Uphill,85.422,85.468,0.046,8,360.9,364.6,3.7
255,9,Moderate Uphill,85.468,85.606,0.138,7,364.6,374,9.4
256,8,Gentle Uphill,85.606,85.675,0.069,3,374,376.3,2.3
257,7,Flat,85.675,85.766,0.092,1,376.3,377.1,0.8
258,6,Gentle Downhill,85.766,85.789,0.023,-4,376,376.8,0.8
259,5,Moderate Downhill,85.789,85.858,0.069,-6,371.6,376,4.4
260,4,Steep Downhill,85.858,85.881,0.023,-8,369.7,371.6,1.9
261,5,Moderate Downhill,85.881,85.927,0.046,-8,366.1,369.7,3.6
262,4,Steep Downhill,85.927,86.065,0.138,-9,354.1,366.1,12
263,5,Moderate Downhill,86.065,86.134,0.069,-7,349.4,354.1,4.7
264,6,Gentle Downhill,86.134,86.203,0.069,-3,347.2,349.4,2.1
265,7,Flat,86.203,86.502,0.299,0,345.4,347.2,1.9
266,8,Gentle Uphill,86.502,86.525,0.023,3,346.5,347.1,0.6
267,7,Flat,86.525,88.019,1.494,0,346.5,354.4,7.9
268,6,Gentle Downhill,88.019,88.042,0.023,-3,350.7,351.3,0.6
269,7,Flat,88.042,88.088,0.046,-2,349.8,350.7,0.9
270,6,Gentle Downhill,88.088,88.134,0.046,-3,348.6,349.8,1.2
271,7,Flat,88.134,88.847,0.713,0,346.8,350.5,3.7
272,6,Gentle Downhill,88.847,88.962,0.115,-4,345,349.2,4.2
273,7,Flat,88.962,89.146,0.184,-1,343.7,345,1.3
274,6,Gentle Downhill,89.146,89.192,0.046,-4,341.8,343.7,1.9
275,5,Moderate Downhill,89.192,89.376,0.184,-6,330.1,341.8,11.7
276,6,Gentle Downhill,89.376,89.468,0.092,-4,326.4,330.1,3.7
277,7,Flat,89.468,89.536,0.069,0,326.1,326.6,0.5
278,8,Gentle Uphill,89.536,89.559,0.023,4,326.6,327.5,0.9
279,9,Moderate Uphill,89.559,89.651,0.092,6,327.5,332.9,5.4
280,8,Gentle Uphill,89.651,89.697,0.046,4,332.9,334.8,1.8
281,7,Flat,89.697,89.812,0.115,1,334.8,336.2,1.5
282,8,Gentle Uphill,89.812,89.858,0.046,4,336.2,338.1,1.9
283,9,Moderate Uphill,89.858,89.949,0.092,6,338.1,343.4,5.3
284,8,Gentle Uphill,89.949,89.972,0.023,5,343.4,344.6,1.1
285,9,Moderate Uphill,89.972,90.11,0.138,6,344.6,353.5,8.9
286,8,Gentle Uphill,90.11,90.156,0.046,4,353.5,355.1,1.6
287,7,Flat,90.156,90.685,0.529,1,355.1,360.4,5.2
288,6,Gentle Downhill,90.685,90.777,0.092,-3,356.7,359.3,2.6
289,7,Flat,90.777,91.858,1.081,0,352.6,359.5,6.8
290,8,Gentle Uphill,91.858,91.927,0.069,4,359.5,362.1,2.6
291,9,Moderate Uphill,91.927,91.996,0.069,5,362.1,365.6,3.5
292,8,Gentle Uphill,91.996,92.065,0.069,4,365.6,368.1,2.4
293,7,Flat,92.065,92.41,0.345,1,368.1,370,1.9
294,8,Gentle Uphill,92.41,92.456,0.046,3,370,371.4,1.4
295,9,Moderate Uphill,92.456,92.707,0.252,7,371.4,388.8,17.4
296,8,Gentle Uphill,92.707,92.73,0.023,4,388.8,389.8,1
297,7,Flat,92.73,92.798,0.068,0,389.7,390.3,0.6
298,6,Gentle Downhill,92.798,92.913,0.115,-4,385.1,389.7,4.6
299,7,Flat,92.913,93.188,0.275,0,383.6,385.1,1.5
300,8,Gentle Uphill,93.188,93.349,0.161,4,384.7,391.4,6.7
301,7,Flat,93.349,93.878,0.529,1,391.4,395.6,4.2
302,8,Gentle Uphill,93.878,93.993,0.115,3,395.6,399.6,4
303,7,Flat,93.993,94.131,0.138,0,399.4,400.3,1
304,6,Gentle Downhill,94.131,94.154,0.023,-3,398.7,399.4,0.6
305,7,Flat,94.154,94.706,0.552,1,397.6,401.7,4.1
306,8,Gentle Uphill,94.706,94.867,0.161,4,401.7,408.4,6.7
307,9,Moderate Uphill,94.867,95.074,0.207,6,408.4,420.5,12.2
308,8,Gentle Uphill,95.074,95.143,0.069,4,420.5,423,2.5
309,7,Flat,95.143,95.258,0.115,0,422.8,423.6,0.8
310,6,Gentle Downhill,95.258,95.327,0.069,-4,420,422.8,2.8
311,5,Moderate Downhill,95.327,95.396,0.069,-5,416.5,420,3.6
312,6,Gentle Downhill,95.396,95.534,0.138,-3,411.8,416.5,4.6
313,7,Flat,95.534,95.855,0.322,0,410.7,413,2.3
314,8,Gentle Uphill,95.855,95.97,0.115,4,413,417.2,4.2
315,9,Moderate Uphill,95.97,96.2,0.23,6,417.2,431.8,14.6
316,8,Gentle Uphill,96.2,96.269,0.069,4,431.8,434.3,2.5
317,7,Flat,96.269,96.43,0.161,0,434.3,435.6,1.3
318,6,Gentle Downhill,96.43,96.522,0.092,-3,432.1,434.7,2.6
319,7,Flat,96.522,96.775,0.253,-1,429.1,432.1,3
320,6,Gentle Downhill,96.775,96.844,0.069,-3,427.2,429.1,1.9
321,7,Flat,96.844,96.959,0.115,0,426.2,427.2,1
322,8,Gentle Uphill,96.959,97.028,0.069,4,427,430,3
323,9,Moderate Uphill,97.028,97.097,0.069,5,430,433.7,3.8
324,8,Gentle Uphill,97.097,97.212,0.115,3,433.7,437.7,3.9
325,7,Flat,97.212,97.258,0.046,2,437.7,438.8,1.1
326,8,Gentle Uphill,97.258,97.281,0.023,3,438.8,439.4,0.6
327,7,Flat,97.281,97.695,0.414,1,439.4,445.2,5.9
328,8,Gentle Uphill,97.695,97.741,0.046,4,445.2,447,1.8
329,9,Moderate Uphill,97.741,97.764,0.023,7,447,448.5,1.5
330,10,Steep Uphill,97.764,97.948,0.184,9,448.5,465.2,16.7
331,9,Moderate Uphill,97.948,97.97,0.023,7,465.2,466.8,1.6
332,8,Gentle Uphill,97.97,98.016,0.046,4,466.8,468.4,1.7
333,7,Flat,98.016,99.005,0.989,1,467.5,474.6,7
334,8,Gentle Uphill,99.005,99.051,0.046,4,474.6,476.5,1.9
335,9,Moderate Uphill,99.051,99.074,0.023,7,476.5,478.1,1.6
336,10,Steep Uphill,99.074,99.212,0.138,9,478.1,490.5,12.4
337,9,Moderate Uphill,99.212,99.258,0.046,6,490.5,493.5,3
338,8,Gentle Uphill,99.258,99.511,0.253,4,493.5,503.2,9.8
339,7,Flat,99.511,100.224,0.713,0,503.1,505.8,2.7
340,8,Gentle Uphill,100.224,100.316,0.092,4,505.1,508.8,3.7
341,9,Moderate Uphill,100.316,100.408,0.092,5,508.8,513.7,4.9
342,8,Gentle Uphill,100.408,100.454,0.046,4,513.7,515.3,1.6
343,7,Flat,100.454,100.592,0.138,1,515.3,516.3,1
344,8,Gentle Uphill,100.592,100.615,0.023,3,516.3,517.1,0.8
345,9,Moderate Uphill,100.615,100.661,0.046,6,517.1,519.9,2.8
346,10,Steep Uphill,100.661,100.844,0.183,9,519.9,537,17.2
347,9,Moderate Uphill,100.844,100.867,0.023,7,537,538.7,1.6
348,8,Gentle Uphill,100.867,100.89,0.023,5,538.7,539.7,1
349,7,Flat,100.89,101.074,0.184,0,539.6,540.4,0.8
350,8,Gentle Uphill,101.074,101.166,0.092,4,539.8,543.5,3.7
351,9,Moderate Uphill,101.166,101.212,0.046,5,543.5,546,2.5
352,8,Gentle Uphill,101.212,101.235,0.023,5,546,547,1.1
353,9,Moderate Uphill,101.235,101.327,0.092,6,547,552.8,5.8
354,10,Steep Uphill,101.327,101.465,0.138,9,552.8,564.7,11.9
355,9,Moderate Uphill,101.465,101.533,0.069,8,564.7,570.1,5.4
356,10,Steep Uphill,101.533,101.671,0.138,9,570.1,582.4,12.3
357,9,Moderate Uphill,101.671,101.74,0.069,6,582.4,586.7,4.4
358,8,Gentle Uphill,101.74,101.786,0.046,4,586.7,588.4,1.6
359,7,Flat,101.786,101.878,0.092,0,588.2,589,0.8
360,6,Gentle Downhill,101.878,101.947,0.069,-4,585.8,588.2,2.5
361,7,Flat,101.947,102.016,0.069,-1,585,585.8,0.7
362,8,Gentle Uphill,102.016,102.131,0.115,3,585.2,588.7,3.6
363,7,Flat,102.131,102.223,0.092,2,588.7,590.9,2.1
364,8,Gentle Uphill,102.223,102.361,0.138,4,590.9,596.5,5.6
365,9,Moderate Uphill,102.361,102.522,0.161,6,596.5,606.9,10.3
366,8,Gentle Uphill,102.522,102.545,0.023,4,606.9,607.9,1
367,7,Flat,102.545,102.614,0.069,0,607.9,608.4,0.6
368,6,Gentle Downhill,102.614,102.706,0.092,-4,604.5,608.1,3.6
369,5,Moderate Downhill,102.706,102.982,0.276,-6,588.5,604.5,16
370,6,Gentle Downhill,102.982,103.166,0.184,-4,581.2,588.5,7.3
371,7,Flat,103.166,103.718,0.552,0,577.2,581.2,4
372,8,Gentle Uphill,103.718,103.741,0.023,4,578.9,579.7,0.9
